classes,live,notes,units,study,notebooks,transport,pets,sleep,icecream,season,electronics,pizza,tattoos,sport,holiday,countries,languages,chipotle,buying,groceries,household,shoes,money,fastfood,food,scoops,driving,ethnicity,age,order,siblings,height
6,commute,on paper,18,10,4,public transportation,3,6,chocolate,fall,45,combination,0,basketball,New Years,4,2,0,generic,700,3,4,1500,0,American,2,18,White,34,middle,7,69
5,commute,online,15,10,0,private vehicle,1,7,mint,summer,20,pepperoni,1,other,Christmas,1,1,12,brand name,200,2,6,300,6,American,2,10,White,25,oldest,1,74
4,commute,online,12,6,2,private vehicle,0,6,other,summer,3,combination,1,soccer,Thanksgiving,2,3,1,brand name,100,5,5,150,3,Asian,2,3,Asian or Middle Eastern,20,oldest,2,73
5,commute,online,15,2,0,private vehicle,3,8,chocolate,winter,4,pepperoni,0,other,Christmas,3,1,4,generic,200,4,5,200,4,American,2,2,White,18,youngest,1,79
5,commute,online,15,2,2,private vehicle,0,6,vanilla,winter,5,pepperoni,0,other,Christmas,1,2,0,generic,200,5,10,40,0,Asian,2,0,Asian or Middle Eastern,18,middle,3,60
6,live on campus,online,18,10,3,walk/run,1,7,vanilla,fall,3,pepperoni,0,soccer,Christmas,4,2,0,generic,500,5,11,40,1,Asian,2,2,Hispanic or Latino,17,oldest,2,63
5,commute,on paper,15,6,4,private vehicle,4,8,other,fall,4,Hawaiian,1,football,Christmas,1,1,0,brand name,50,5,9,150,1,Asian,2,1,Asian or Middle Eastern,17,youngest,3,70
5,commute,on paper,10,40,6,public transportation,0,7,other,summer,2,pepperoni,0,other,Thanksgiving,2,1,0,generic,100,3,6,60,4,Asian,3,10,Hispanic or Latino,45,youngest,1,67
6,commute,online,16,6,1,private vehicle,1,8,vanilla,fall,3,pepperoni,0,soccer,Christmas,1,2,0,brand name,100,5,10,100,1,Latin,1,1,Hispanic or Latino,18,middle,3,59
5,commute,on paper,15,25,3,private vehicle,10,6.5,vanilla,spring,4,pepperoni,0,baseball,Christmas,1,2,0,generic,30,4,15,60,1,American,2,3,White,20,youngest,5,66
4,commute,on paper,14,15,2,private vehicle,1,8,other,fall,4,pepperoni,0,basketball,Halloween,1,1,2,generic,300,6,16,300,1,American,2,2,African-American,18,middle,3,64
5,live on campus,on paper,15,20,4,walk/run,1,7,cookies and cream,winter,3,pepperoni,0,soccer,Thanksgiving,1,1,3,brand name,50,2,3,60,2,American,1,1,White,18,youngest,2,63
4,commute,on paper,12,15,1,private vehicle,3,7,cookies and cream,fall,3,pepperoni,1,soccer,Christmas,3,1,1,generic,0,3,12,50,0,European,1,3,White,19,youngest,2,61
5,commute,on paper,15,2,4,private vehicle,0,7,cookies and cream,fall,8,combination,0,soccer,Thanksgiving,1,1,0,brand name,0,5,10,532.14,0,Asian,2,0,Asian or Middle Eastern,18,oldest,2,70
4,commute,on paper,12,12,4,private vehicle,2,6,other,fall,6,other,14,baseball,Christmas,2,1,2,generic,50,2,60,200,4,Asian,1,7,White,22,middle,3,64
4,commute,on paper,12,12,4,private vehicle,0,7,chocolate,fall,3,pepperoni,0,basketball,Christmas,8,2,1,generic,50,3,4,70,1,Asian,1,3,Asian or Middle Eastern,19,oldest,1,68
6,commute,online,17,20,4,bike/scooter/skateboard/etc,0,8,vanilla,winter,5,pepperoni,0,football,Christmas,2,2,1,generic,300,4,5,200,1,Latin,2,4,Hispanic or Latino,19,oldest,2,70
5,commute,on paper,15,3,5,walk/run,1,8,other,fall,7,other,0,soccer,Christmas,1,2,0,generic,60,4,15,30,3,Latin,4,1,Hispanic or Latino,18,oldest,2,64
5,commute,on paper,16,10,4,private vehicle,0,9,chocolate,fall,3,pepperoni,0,football,Halloween,1,2,4,brand name,200,8,9,200,7,Latin,1,0,Hispanic or Latino,18,youngest,3,63
5,commute,on paper,15,2,2,public transportation,2,6,vanilla,fall,5,combination,0,other,Christmas,1,2,1,brand name,50,6,6,300,4,Asian,2,1,Asian or Middle Eastern,18,middle,10,64
4,commute,online,15,6,1,private vehicle,2,7,mint,spring,3,cheese,1,basketball,Christmas,3,1,2,brand name,500,4,40,1100,3,Asian,1,3,Hispanic or Latino,18,youngest,5,64
5,commute,online,15,4,1,private vehicle,1,6,mint,summer,6,Hawaiian,0,soccer,Christmas,2,2,1,brand name,200,4,20,150,3,American,2,0,Hispanic or Latino,18,youngest,1,63
5,commute,on paper,12,5,5,private vehicle,1,6,mint,winter,5,combination,0,soccer,Christmas,2,2,0,brand name,0,4,9,80,2,Asian,2,2,Hispanic or Latino,18,oldest,1,67
5,commute,on paper,15,15,1,private vehicle,2,6,cookies and cream,fall,2,cheese,0,other,Valentine's Day,2,2,0,generic,30,5,6,300,3,American,2,1,Hispanic or Latino,18,oldest,1,64
5,commute,on paper,15,5,2,bike/scooter/skateboard/etc,0,9,vanilla,fall,5,combination,2,basketball,Christmas,2,1,4,generic,300,4,10,150,1,Asian,2,3,Asian or Middle Eastern,18,middle,2,68
4,commute,online,12,6,1,private vehicle,0,6,chocolate,fall,3,combination,0,other,Christmas,1,2,10,generic,200,7,13,60,1,Asian,1,0,Asian or Middle Eastern,20,middle,4,64
5,live on campus,on paper,15,30,2,walk/run,2,7,other,fall,3,pepperoni,0,basketball,Christmas,1,1,2,generic,100,6,15,50,3,American,2,1,White,18,middle,3,75
5,live on campus,on paper,15,10,3,walk/run,2,7,cookies and cream,spring,5,pepperoni,1,soccer,Halloween,4,2,2,generic,50,3,13,30,2,Latin,2,0,Hispanic or Latino,17,youngest,1,65
5,live on campus,online,15,20,5,walk/run,1,7,mint,fall,3,pepperoni,2,football,Halloween,3,2,0,generic,150,5,4,75,1,Latin,1,2,Hispanic or Latino,18,youngest,1,65
5,live on campus,online,15,12,4,walk/run,1,7,mint,summer,5,other,0,football,Christmas,4,1,1,generic,100,6,10,50,1,American,2,2,African-American,18,oldest,0,71
5,commute,on paper,15,6,2,public transportation,0,8,chocolate,winter,3,pepperoni,0,soccer,Christmas,1,2,2,brand name,300,4,2,100,3,Latin,3,0,Hispanic or Latino,17,middle,5,67
4,commute,on paper,12,8,3,private vehicle,1,7,cookies and cream,winter,5,Hawaiian,0,basketball,Independence Day,8,1,0,generic,400,2,10,100,1,Asian,1,4,Hispanic or Latino,21,oldest,5,62
5,commute,on paper,15,10,5,private vehicle,2,8,vanilla,winter,3,combination,0,other,Christmas,11,3,2,generic,600,5,5,100,1,European,1,2,White,18,oldest,2,66
5,live on campus,on paper,15,14,5,walk/run,0,8,mint,winter,3,Hawaiian,0,soccer,Christmas,1,2,1,brand name,150,6,14,50,2,Latin,1,2,Hispanic or Latino,18,oldest,0,61
4,live on campus,online,4,5,6,walk/run,1,8,vanilla,winter,2,pepperoni,0,football,Christmas,1,2,0,generic,150,3,6,50,1,American,2,3,Hispanic or Latino,19,middle,4,68
4,commute,on paper,12,21,2,private vehicle,1,8,cookies and cream,summer,5,combination,0,basketball,Independence Day,5,2,5,brand name,200,3,20,400,3,Asian,2,6,Asian or Middle Eastern,23,youngest,2,71
5,live on campus,on paper,15,13,3,walk/run,4,8,other,fall,3,cheese,0,soccer,Halloween,3,2,0,generic,100,4,8,40,1,Latin,2,10,Hispanic or Latino,26,youngest,1,61
4,live on campus,on paper,12,15,1,walk/run,7,7,mint,spring,2,pepperoni,0,other,Christmas,1,2,0,generic,25,4,7,5,1,Latin,1,0,Hispanic or Latino,19,oldest,5,54
5,commute,on paper,15,1,2,private vehicle,3,8,cookies and cream,spring,6,pepperoni,0,other,Thanksgiving,1,2,0,brand name,100,4,4,100,3,Latin,3,3,Hispanic or Latino,18,oldest,1,71
5,commute,on paper,5,15,5,private vehicle,2,5,chocolate,winter,2,combination,0,football,Christmas,1,2,0,generic,1500,5,6,150,1,Latin,3,3,Hispanic or Latino,18,oldest,5,63
6,commute,on paper,15,10,2,private vehicle,0,8,cookies and cream,spring,2,pepperoni,0,soccer,Christmas,1,2,0,brand name,100,9,4,100,2,American,5,3,Asian or Middle Eastern,20,youngest,4,64
5,live on campus,on paper,15,6,1,walk/run,1,7,cookies and cream,fall,2,cheese,1,baseball,Valentine's Day,1,1,3,brand name,100,4,7,50,2,American,1,3,White,18,oldest,1,64
5,commute,on paper,15,15,1,private vehicle,2,8,other,summer,4,pepperoni,0,soccer,Christmas,2,2,2,generic,150,4,5,50,1,American,1,3,White,18,oldest,1,66
5,commute,online,17,30,3,public transportation,0,5,chocolate,winter,3,Hawaiian,2,other,Christmas,1,3,0,generic,160,4,12,100,2,Asian,1,0,Asian or Middle Eastern,20,oldest,1,60
4,commute,on paper,12,8,2,private vehicle,0,6,cookies and cream,summer,3,pepperoni,0,soccer,Christmas,1,1,1,generic,150,1,7,200,2,American,2,3,African-American,20,middle,3,54
6,commute,on paper,18,12,6,private vehicle,0,7,vanilla,fall,5,pepperoni,1,basketball,Halloween,1,1,5,brand name,150,5,10,100,4,American,2,5,White,21,oldest,0,65
5,commute,online,5,2,3,private vehicle,0,6,vanilla,winter,8,pepperoni,4,basketball,Christmas,6,2,0,generic,300,4,13,30,3,Latin,1,10,Hispanic or Latino,18,oldest,2,67
3,commute,on paper,12,12,5,private vehicle,0,7,cookies and cream,winter,3,pepperoni,0,other,Christmas,2,2,1,brand name,200,5,8,100,0,Latin,2,3,Hispanic or Latino,19,middle,3,64
4,commute,on paper,13,3,2,walk/run,1,7,cookies and cream,fall,3,Hawaiian,0,football,Christmas,1,2,0,brand name,150,6,10,25,0,Latin,1,0,Hispanic or Latino,20,oldest,3,59
